Blocs;Fermenter;Species;Time (h);CO2 (g/L);CO2_rate (g/L/h)
Sc vs Ho;F21;Sc;0.28;0;0
Sc vs Ho;F21;Sc;0.61;0;0
Sc vs Ho;F21;Sc;0.94;0;0
Sc vs Ho;F21;Sc;1.28;0.009;0
Sc vs Ho;F21;Sc;1.61;0.018;0.014
Sc vs Ho;F21;Sc;1.94;0;0.015
Sc vs Ho;F21;Sc;2.28;0;0.015
Sc vs Ho;F21;Sc;2.61;0.018;0.01
Sc vs Ho;F21;Sc;2.94;0.027;0.005
Sc vs Ho;F21;Sc;3.28;0.073;0.003
Sc vs Ho;F21;Sc;3.61;0.036;-0.002
Sc vs Ho;F21;Sc;3.94;0.036;-0.002
Sc vs Ho;F21;Sc;4.28;0.009;-0.006
Sc vs Ho;F21;Sc;4.61;0.009;-0.012
Sc vs Ho;F21;Sc;4.94;0.018;-0.02
Sc vs Ho;F21;Sc;5.28;-0.009;-0.014
Sc vs Ho;F21;Sc;5.61;0.045;-0.014
Sc vs Ho;F21;Sc;5.94;0.018;-0.011
Sc vs Ho;F21;Sc;6.28;-0.009;-0.011
Sc vs Ho;F21;Sc;6.61;-0.037;-0.01
Sc vs Ho;F21;Sc;6.94;-0.009;-0.008
Sc vs Ho;F21;Sc;7.28;-0.018;-0.01
Sc vs Ho;F21;Sc;7.61;-0.009;0.002
Sc vs Ho;F21;Sc;7.94;-0.009;0.006
Sc vs Ho;F21;Sc;8.28;-0.009;0.016
Sc vs Ho;F21;Sc;8.61;-0.009;0.014
Sc vs Ho;F21;Sc;8.94;-0.018;0.013
Sc vs Ho;F21;Sc;9.28;0.018;0.013
Sc vs Ho;F21;Sc;9.61;-0.009;0.012
Sc vs Ho;F21;Sc;9.94;0.064;0.009
Sc vs Ho;F21;Sc;10.28;0.018;0.011
Sc vs Ho;F21;Sc;10.61;0.009;0.011
Sc vs Ho;F21;Sc;10.94;0.027;0.007
Sc vs Ho;F21;Sc;11.28;0.018;0.006
Sc vs Ho;F21;Sc;11.61;0.009;0
Sc vs Ho;F21;Sc;11.94;0.046;0.007
Sc vs Ho;F21;Sc;12.28;0.046;0.006
Sc vs Ho;F21;Sc;12.61;0.037;0.007
Sc vs Ho;F21;Sc;12.94;0.028;0.01
Sc vs Ho;F21;Sc;13.28;0.028;0.011
Sc vs Ho;F21;Sc;13.61;0.037;0.009
Sc vs Ho;F21;Sc;13.94;0.037;0.007
Sc vs Ho;F21;Sc;14.28;0.055;0.013
Sc vs Ho;F21;Sc;14.61;0.064;0.012
Sc vs Ho;F21;Sc;14.94;0.064;0.01
Sc vs Ho;F21;Sc;15.28;0.064;0.006
Sc vs Ho;F21;Sc;15.61;0.037;0.006
Sc vs Ho;F21;Sc;15.94;0.083;0.012
Sc vs Ho;F21;Sc;16.28;0.055;0.01
Sc vs Ho;F21;Sc;16.61;0.064;0.014
Sc vs Ho;F21;Sc;16.94;0.055;0.017
Sc vs Ho;F21;Sc;17.28;0.083;0.019
Sc vs Ho;F21;Sc;17.61;0.129;0.018
Sc vs Ho;F21;Sc;17.94;0.074;0.017
Sc vs Ho;F21;Sc;18.28;0.101;0.02
Sc vs Ho;F21;Sc;18.61;0.11;0.02
Sc vs Ho;F21;Sc;18.94;0.11;0.02
Sc vs Ho;F21;Sc;19.28;0.129;0.019
Sc vs Ho;F21;Sc;19.61;0.092;0.028
Sc vs Ho;F21;Sc;19.94;0.157;0.025
Sc vs Ho;F21;Sc;20.28;0.138;0.026
Sc vs Ho;F21;Sc;20.61;0.175;0.034
Sc vs Ho;F21;Sc;20.94;0.147;0.034
Sc vs Ho;F21;Sc;21.28;0.184;0.028
Sc vs Ho;F21;Sc;21.61;0.175;0.018
Sc vs Ho;F21;Sc;21.94;0.193;0.017
Sc vs Ho;F21;Sc;22.28;0.249;0.012
Sc vs Ho;F21;Sc;22.61;0.212;0.018
Sc vs Ho;F21;Sc;22.94;0.175;0.022
Sc vs Ho;F21;Sc;23.28;0.194;0.033
Sc vs Ho;F21;Sc;23.61;0.203;0.041
Sc vs Ho;F21;Sc;23.94;0.212;0.057
Sc vs Ho;F21;Sc;24.28;0.258;0.081
Sc vs Ho;F21;Sc;24.61;0.286;0.1
Sc vs Ho;F21;Sc;24.94;0.333;0.119
Sc vs Ho;F21;Sc;25.28;0.342;0.133
Sc vs Ho;F21;Sc;25.61;0.416;0.145
Sc vs Ho;F21;Sc;25.94;0.453;0.16
Sc vs Ho;F21;Sc;26.28;0.509;0.177
Sc vs Ho;F21;Sc;26.61;0.602;0.194
Sc vs Ho;F21;Sc;27.28;0.695;0.245
Sc vs Ho;F21;Sc;27.61;0.806;0.275
Sc vs Ho;F21;Sc;27.94;0.88;0.303
Sc vs Ho;F21;Sc;28.28;0.973;0.326
Sc vs Ho;F21;Sc;28.61;1.122;0.354
Sc vs Ho;F21;Sc;28.94;1.252;0.377
Sc vs Ho;F21;Sc;29.28;1.391;0.398
Sc vs Ho;F21;Sc;29.61;1.521;0.411
Sc vs Ho;F21;Sc;29.94;1.632;0.426
Sc vs Ho;F21;Sc;30.28;1.79;0.434
Sc vs Ho;F21;Sc;30.61;1.948;0.447
Sc vs Ho;F21;Sc;30.94;2.124;0.461
Sc vs Ho;F21;Sc;31.28;2.217;0.477
Sc vs Ho;F21;Sc;31.61;2.421;0.492
Sc vs Ho;F21;Sc;31.94;2.57;0.507
Sc vs Ho;F21;Sc;32.28;2.746;0.524
Sc vs Ho;F21;Sc;32.61;2.922;0.542
Sc vs Ho;F21;Sc;32.94;3.108;0.563
Sc vs Ho;F21;Sc;33.28;3.284;0.579
Sc vs Ho;F21;Sc;33.61;3.498;0.598
Sc vs Ho;F21;Sc;33.94;3.702;0.612
Sc vs Ho;F21;Sc;34.28;3.906;0.626
Sc vs Ho;F21;Sc;34.61;4.102;0.643
Sc vs Ho;F21;Sc;34.94;4.354;0.663
Sc vs Ho;F21;Sc;35.28;4.56;0.672
Sc vs Ho;F21;Sc;35.61;4.765;0.688
Sc vs Ho;F21;Sc;35.94;4.999;0.705
Sc vs Ho;F21;Sc;36.28;5.26;0.72
Sc vs Ho;F21;Sc;36.61;5.522;0.738
Sc vs Ho;F21;Sc;36.94;5.718;0.758
Sc vs Ho;F21;Sc;37.28;5.998;0.779
Sc vs Ho;F21;Sc;37.61;6.26;0.798
Sc vs Ho;F21;Sc;37.94;6.512;0.816
Sc vs Ho;F21;Sc;38.28;6.82;0.843
Sc vs Ho;F21;Sc;38.61;7.072;0.863
Sc vs Ho;F21;Sc;38.94;7.38;0.879
Sc vs Ho;F21;Sc;39.28;7.679;0.899
Sc vs Ho;F21;Sc;39.61;7.978;0.916
Sc vs Ho;F21;Sc;39.94;8.324;0.927
Sc vs Ho;F21;Sc;40.28;8.576;0.946
Sc vs Ho;F21;Sc;40.61;8.921;0.956
Sc vs Ho;F21;Sc;40.94;9.248;0.959
Sc vs Ho;F21;Sc;41.28;9.566;0.964
Sc vs Ho;F21;Sc;41.61;9.883;0.965
Sc vs Ho;F21;Sc;41.94;10.248;0.973
Sc vs Ho;F21;Sc;42.28;10.565;0.963
Sc vs Ho;F21;Sc;42.61;10.836;0.959
Sc vs Ho;F21;Sc;42.94;11.191;0.957
Sc vs Ho;F21;Sc;43.28;11.499;0.951
Sc vs Ho;F21;Sc;43.61;11.835;0.95
Sc vs Ho;F21;Sc;43.94;12.116;0.951
Sc vs Ho;F21;Sc;44.28;12.442;0.954
Sc vs Ho;F21;Sc;44.61;12.779;0.966
Sc vs Ho;F21;Sc;44.94;13.068;0.979
Sc vs Ho;F21;Sc;45.28;13.423;0.986
Sc vs Ho;F21;Sc;45.61;13.713;0.986
Sc vs Ho;F21;Sc;45.94;14.039;0.978
Sc vs Ho;F21;Sc;46.28;14.469;0.965
Sc vs Ho;F21;Sc;46.61;14.777;0.958
Sc vs Ho;F21;Sc;46.94;15.085;0.938
Sc vs Ho;F21;Sc;47.28;15.349;0.921
Sc vs Ho;F21;Sc;47.61;15.65;0.9
Sc vs Ho;F21;Sc;47.94;15.932;0.879
Sc vs Ho;F21;Sc;48.28;16.271;0.878
Sc vs Ho;F21;Sc;48.61;16.534;0.879
Sc vs Ho;F21;Sc;48.94;16.817;0.884
Sc vs Ho;F21;Sc;49.28;17.118;0.883
Sc vs Ho;F21;Sc;49.61;17.41;0.88
Sc vs Ho;F21;Sc;49.94;17.711;0.877
Sc vs Ho;F21;Sc;50.28;18.002;0.877
Sc vs Ho;F21;Sc;50.61;18.313;0.872
Sc vs Ho;F21;Sc;50.94;18.595;0.862
Sc vs Ho;F21;Sc;51.28;18.868;0.852
Sc vs Ho;F21;Sc;51.61;19.169;0.843
Sc vs Ho;F21;Sc;51.94;19.442;0.836
Sc vs Ho;F21;Sc;52.28;19.715;0.826
Sc vs Ho;F21;Sc;52.61;19.978;0.819
Sc vs Ho;F21;Sc;52.94;20.251;0.809
Sc vs Ho;F21;Sc;53.28;20.533;0.803
Sc vs Ho;F21;Sc;53.61;20.806;0.797
Sc vs Ho;F21;Sc;53.96;21.079;0.799
Sc vs Ho;F21;Sc;54.29;21.333;0.796
Sc vs Ho;F21;Sc;54.63;21.568;0.794
Sc vs Ho;F21;Sc;54.96;21.87;0.796
Sc vs Ho;F21;Sc;55.29;22.105;0.798
Sc vs Ho;F21;Sc;55.63;22.425;0.8
Sc vs Ho;F21;Sc;55.96;22.651;0.801
Sc vs Ho;F21;Sc;56.29;22.923;0.797
Sc vs Ho;F21;Sc;56.63;23.215;0.785
Sc vs Ho;F21;Sc;56.96;23.46;0.776
Sc vs Ho;F21;Sc;57.29;23.723;0.764
Sc vs Ho;F21;Sc;57.63;23.987;0.753
Sc vs Ho;F21;Sc;57.96;24.222;0.74
Sc vs Ho;F21;Sc;58.29;24.457;0.733
Sc vs Ho;F21;Sc;58.63;24.702;0.733
Sc vs Ho;F21;Sc;58.96;24.956;0.731
Sc vs Ho;F21;Sc;59.29;25.153;0.732
Sc vs Ho;F21;Sc;59.63;25.417;0.738
Sc vs Ho;F21;Sc;59.96;25.68;0.738
Sc vs Ho;F21;Sc;60.29;25.936;0.739
Sc vs Ho;F21;Sc;60.63;26.173;0.736
Sc vs Ho;F21;Sc;60.96;26.419;0.731
Sc vs Ho;F21;Sc;61.29;26.684;0.719
Sc vs Ho;F21;Sc;61.63;26.892;0.712
Sc vs Ho;F21;Sc;61.96;27.158;0.707
Sc vs Ho;F21;Sc;62.29;27.366;0.708
Sc vs Ho;F21;Sc;62.63;27.584;0.706
Sc vs Ho;F21;Sc;62.96;27.821;0.696
Sc vs Ho;F21;Sc;63.29;28.076;0.694
Sc vs Ho;F21;Sc;63.63;28.303;0.691
Sc vs Ho;F21;Sc;63.96;28.569;0.693
Sc vs Ho;F21;Sc;64.29;28.786;0.692
Sc vs Ho;F21;Sc;64.63;28.957;0.69
Sc vs Ho;F21;Sc;64.96;29.203;0.683
Sc vs Ho;F21;Sc;65.29;29.449;0.683
Sc vs Ho;F21;Sc;65.63;29.677;0.676
Sc vs Ho;F21;Sc;65.96;29.913;0.679
Sc vs Ho;F21;Sc;66.29;30.15;0.681
Sc vs Ho;F21;Sc;66.63;30.349;0.671
Sc vs Ho;F21;Sc;66.96;30.595;0.667
Sc vs Ho;F21;Sc;67.29;30.775;0.667
Sc vs Ho;F21;Sc;67.63;31.021;0.666
Sc vs Ho;F21;Sc;67.96;31.249;0.664
Sc vs Ho;F21;Sc;68.29;31.447;0.665
Sc vs Ho;F21;Sc;68.63;31.694;0.663
Sc vs Ho;F21;Sc;68.96;31.921;0.658
Sc vs Ho;F21;Sc;69.29;32.139;0.65
Sc vs Ho;F21;Sc;69.63;32.338;0.649
Sc vs Ho;F21;Sc;69.96;32.565;0.655
Sc vs Ho;F21;Sc;70.29;32.783;0.655
Sc vs Ho;F21;Sc;70.63;32.953;0.658
Sc vs Ho;F21;Sc;70.96;33.19;0.656
Sc vs Ho;F21;Sc;71.29;33.427;0.655
Sc vs Ho;F21;Sc;71.63;33.684;0.649
Sc vs Ho;F21;Sc;71.96;33.894;0.646
Sc vs Ho;F21;Sc;72.29;34.104;0.642
Sc vs Ho;F21;Sc;72.63;34.286;0.631
Sc vs Ho;F21;Sc;72.96;34.496;0.62
Sc vs Ho;F21;Sc;73.29;34.696;0.617
Sc vs Ho;F21;Sc;73.63;34.916;0.615
Sc vs Ho;F21;Sc;73.96;35.116;0.618
Sc vs Ho;F21;Sc;74.29;35.326;0.621
Sc vs Ho;F21;Sc;74.63;35.517;0.622
Sc vs Ho;F21;Sc;74.96;35.765;0.623
Sc vs Ho;F21;Sc;75.29;35.918;0.619
Sc vs Ho;F21;Sc;75.63;36.156;0.621
Sc vs Ho;F21;Sc;75.96;36.357;0.616
Sc vs Ho;F21;Sc;76.29;36.576;0.616
Sc vs Ho;F21;Sc;76.63;36.777;0.611
Sc vs Ho;F21;Sc;76.96;36.958;0.612
Sc vs Ho;F21;Sc;77.29;37.197;0.601
Sc vs Ho;F21;Sc;77.63;37.359;0.602
Sc vs Ho;F21;Sc;77.96;37.588;0.604
Sc vs Ho;F21;Sc;78.29;37.779;0.614
Sc vs Ho;F21;Sc;78.63;37.97;0.619
Sc vs Ho;F21;Sc;78.96;38.151;0.617
Sc vs Ho;F21;Sc;79.29;38.39;0.615
Sc vs Ho;F21;Sc;79.63;38.609;0.604
Sc vs Ho;F21;Sc;79.96;38.848;0.602
Sc vs Ho;F21;Sc;80.29;39.029;0.595
Sc vs Ho;F21;Sc;80.63;39.211;0.588
Sc vs Ho;F21;Sc;80.96;39.374;0.575
Sc vs Ho;F21;Sc;81.29;39.557;0.569
Sc vs Ho;F21;Sc;81.63;39.778;0.559
Sc vs Ho;F21;Sc;81.96;39.951;0.564
Sc vs Ho;F21;Sc;82.29;40.162;0.572
Sc vs Ho;F21;Sc;82.63;40.335;0.577
Sc vs Ho;F21;Sc;82.96;40.537;0.577
Sc vs Ho;F21;Sc;83.29;40.671;0.576
Sc vs Ho;F21;Sc;83.63;40.912;0.581
Sc vs Ho;F21;Sc;83.96;41.123;0.586
Sc vs Ho;F21;Sc;84.29;41.306;0.593
Sc vs Ho;F21;Sc;84.63;41.498;0.594
Sc vs Ho;F21;Sc;84.96;41.69;0.596
Sc vs Ho;F21;Sc;85.29;41.892;0.589
Sc vs Ho;F21;Sc;85.63;42.113;0.587
Sc vs Ho;F21;Sc;85.96;42.305;0.591
Sc vs Ho;F21;Sc;86.29;42.478;0.589
Sc vs Ho;F21;Sc;86.63;42.68;0.586
Sc vs Ho;F21;Sc;86.96;42.872;0.583
Sc vs Ho;F21;Sc;87.29;43.065;0.577
Sc vs Ho;F21;Sc;87.63;43.286;0.578
Sc vs Ho;F21;Sc;87.96;43.459;0.577
Sc vs Ho;F21;Sc;88.29;43.651;0.576
Sc vs Ho;F21;Sc;88.63;43.843;0.573
Sc vs Ho;F21;Sc;88.96;44.016;0.57
Sc vs Ho;F21;Sc;89.29;44.228;0.562
Sc vs Ho;F21;Sc;89.63;44.401;0.56
Sc vs Ho;F21;Sc;89.96;44.612;0.557
Sc vs Ho;F21;Sc;90.29;44.785;0.56
Sc vs Ho;F21;Sc;90.63;44.977;0.563
Sc vs Ho;F21;Sc;90.96;45.131;0.561
Sc vs Ho;F21;Sc;91.29;45.314;0.559
Sc vs Ho;F21;Sc;91.63;45.516;0.553
Sc vs Ho;F21;Sc;91.96;45.737;0.548
Sc vs Ho;F21;Sc;92.29;45.919;0.543
Sc vs Ho;F21;Sc;92.63;46.092;0.54
Sc vs Ho;F21;Sc;92.96;46.256;0.536
Sc vs Ho;F21;Sc;93.29;46.419;0.529
Sc vs Ho;F21;Sc;93.63;46.582;0.527
Sc vs Ho;F21;Sc;93.96;46.765;0.534
Sc vs Ho;F21;Sc;94.29;46.948;0.541
Sc vs Ho;F21;Sc;94.63;47.149;0.549
Sc vs Ho;F21;Sc;94.96;47.313;0.553
Sc vs Ho;F21;Sc;95.29;47.505;0.552
Sc vs Ho;F21;Sc;95.63;47.707;0.556
Sc vs Ho;F21;Sc;95.96;47.88;0.556
Sc vs Ho;F21;Sc;96.29;48.072;0.556
Sc vs Ho;F21;Sc;96.63;48.236;0.551
Sc vs Ho;F21;Sc;96.96;48.409;0.544
Sc vs Ho;F21;Sc;97.29;48.639;0.532
Sc vs Ho;F21;Sc;97.63;48.812;0.519
Sc vs Ho;F21;Sc;97.96;48.995;0.505
Sc vs Ho;F21;Sc;98.29;49.129;0.495
Sc vs Ho;F21;Sc;98.63;49.312;0.491
Sc vs Ho;F21;Sc;98.96;49.447;0.487
Sc vs Ho;F21;Sc;99.29;49.581;0.494
Sc vs Ho;F21;Sc;99.63;49.746;0.501
Sc vs Ho;F21;Sc;99.96;49.911;0.514
Sc vs Ho;F21;Sc;100.29;50.133;0.524
Sc vs Ho;F21;Sc;100.63;50.308;0.536
Sc vs Ho;F21;Sc;100.96;50.482;0.547
Sc vs Ho;F21;Sc;101.29;50.647;0.555
Sc vs Ho;F21;Sc;101.63;50.841;0.552
Sc vs Ho;F21;Sc;101.96;51.025;0.549
Sc vs Ho;F21;Sc;102.29;51.199;0.547
Sc vs Ho;F21;Sc;102.63;51.412;0.548
Sc vs Ho;F21;Sc;102.96;51.616;0.545
Sc vs Ho;F21;Sc;103.29;51.751;0.539
Sc vs Ho;F21;Sc;103.63;51.945;0.54
Sc vs Ho;F21;Sc;103.96;52.1;0.536
Sc vs Ho;F21;Sc;104.29;52.304;0.528
Sc vs Ho;F21;Sc;104.63;52.459;0.528
Sc vs Ho;F21;Sc;104.96;52.643;0.536
Sc vs Ho;F21;Sc;105.29;52.856;0.535
Sc vs Ho;F21;Sc;105.63;53.001;0.54
Sc vs Ho;F21;Sc;105.96;53.166;0.533
Sc vs Ho;F21;Sc;106.29;53.35;0.536
Sc vs Ho;F21;Sc;106.63;53.563;0.533
Sc vs Ho;F21;Sc;106.96;53.718;0.529
Sc vs Ho;F21;Sc;107.29;53.921;0.53
Sc vs Ho;F21;Sc;107.63;54.047;0.525
Sc vs Ho;F21;Sc;107.96;54.261;0.522
Sc vs Ho;F21;Sc;108.29;54.425;0.516
Sc vs Ho;F21;Sc;108.63;54.59;0.517
Sc vs Ho;F21;Sc;108.96;54.755;0.517
Sc vs Ho;F21;Sc;109.29;54.929;0.52
Sc vs Ho;F21;Sc;109.63;55.123;0.513
Sc vs Ho;F21;Sc;109.96;55.268;0.508
Sc vs Ho;F21;Sc;110.29;55.452;0.506
Sc vs Ho;F21;Sc;110.63;55.636;0.507
Sc vs Ho;F21;Sc;110.96;55.801;0.503
Sc vs Ho;F21;Sc;111.29;55.946;0.5
Sc vs Ho;F21;Sc;111.63;56.092;0.503
Sc vs Ho;F21;Sc;111.96;56.276;0.501
Sc vs Ho;F21;Sc;112.29;56.469;0.5
Sc vs Ho;F21;Sc;112.63;56.615;0.502
Sc vs Ho;F21;Sc;112.96;56.789;0.506
Sc vs Ho;F21;Sc;113.29;56.964;0.506
Sc vs Ho;F21;Sc;113.63;57.128;0.5
Sc vs Ho;F21;Sc;113.96;57.283;0.496
Sc vs Ho;F21;Sc;114.29;57.448;0.497
Sc vs Ho;F21;Sc;114.63;57.632;0.495
Sc vs Ho;F21;Sc;114.96;57.797;0.49
Sc vs Ho;F21;Sc;115.29;57.942;0.489
Sc vs Ho;F21;Sc;115.63;58.107;0.488
Sc vs Ho;F21;Sc;115.96;58.281;0.486
Sc vs Ho;F21;Sc;116.29;58.446;0.485
Sc vs Ho;F21;Sc;116.63;58.582;0.492
Sc vs Ho;F21;Sc;116.96;58.756;0.495
Sc vs Ho;F21;Sc;117.29;58.921;0.493
Sc vs Ho;F21;Sc;117.63;59.085;0.491
Sc vs Ho;F21;Sc;117.96;59.25;0.49
Sc vs Ho;F21;Sc;118.29;59.453;0.494
Sc vs Ho;F21;Sc;118.63;59.589;0.492
Sc vs Ho;F21;Sc;118.96;59.734;0.488
Sc vs Ho;F21;Sc;119.29;59.899;0.486
Sc vs Ho;F21;Sc;119.63;60.054;0.478
Sc vs Ho;F21;Sc;119.96;60.248;0.478
Sc vs Ho;F21;Sc;120.29;60.403;0.479
Sc vs Ho;F21;Sc;120.63;60.548;0.482
Sc vs Ho;F21;Sc;120.96;60.713;0.479
Sc vs Ho;F21;Sc;121.29;60.839;0.481
Sc vs Ho;F21;Sc;121.63;61.042;0.485
Sc vs Ho;F21;Sc;121.96;61.168;0.49
Sc vs Ho;F21;Sc;122.29;61.362;0.494
Sc vs Ho;F21;Sc;122.63;61.498;0.494
Sc vs Ho;F21;Sc;122.96;61.691;0.494
Sc vs Ho;F21;Sc;123.29;61.876;0.483
Sc vs Ho;F21;Sc;123.63;62.021;0.477
Sc vs Ho;F21;Sc;123.96;62.176;0.467
Sc vs Ho;F21;Sc;124.29;62.331;0.469
Sc vs Ho;F21;Sc;124.63;62.486;0.462
Sc vs Ho;F21;Sc;124.96;62.612;0.46
Sc vs Ho;F21;Sc;125.29;62.757;0.463
Sc vs Ho;F21;Sc;125.63;62.922;0.459
Sc vs Ho;F21;Sc;125.96;63.125;0.465
Sc vs Ho;F21;Sc;126.29;63.251;0.465
Sc vs Ho;F21;Sc;126.63;63.406;0.463
Sc vs Ho;F21;Sc;126.96;63.561;0.462
Sc vs Ho;F21;Sc;127.29;63.678;0.457
Sc vs Ho;F21;Sc;127.63;63.891;0.45
Sc vs Ho;F21;Sc;127.96;64.007;0.457
Sc vs Ho;F21;Sc;128.29;64.143;0.455
Sc vs Ho;F21;Sc;128.63;64.327;0.455
Sc vs Ho;F21;Sc;128.96;64.472;0.458
Sc vs Ho;F21;Sc;129.29;64.598;0.453
Sc vs Ho;F21;Sc;129.63;64.792;0.457
Sc vs Ho;F21;Sc;129.96;64.908;0.457
Sc vs Ho;F21;Sc;130.29;65.073;0.458
Sc vs Ho;F21;Sc;130.63;65.237;0.46
Sc vs Ho;F21;Sc;130.96;65.373;0.457
Sc vs Ho;F21;Sc;131.29;65.528;0.456
Sc vs Ho;F21;Sc;131.63;65.683;0.455
Sc vs Ho;F21;Sc;131.96;65.857;0.454
Sc vs Ho;F21;Sc;132.29;65.993;0.456
Sc vs Ho;F21;Sc;132.63;66.119;0.454
Sc vs Ho;F21;Sc;132.96;66.303;0.447
Sc vs Ho;F21;Sc;133.29;66.419;0.447
Sc vs Ho;F21;Sc;133.63;66.603;0.444
Sc vs Ho;F21;Sc;133.96;66.758;0.441
Sc vs Ho;F21;Sc;134.29;66.875;0.44
Sc vs Ho;F21;Sc;134.63;67.01;0.436
Sc vs Ho;F21;Sc;134.96;67.194;0.437
Sc vs Ho;F21;Sc;135.29;67.32;0.434
Sc vs Ho;F21;Sc;135.63;67.437;0.437
Sc vs Ho;F21;Sc;135.96;67.611;0.443
Sc vs Ho;F21;Sc;136.29;67.756;0.442
Sc vs Ho;F21;Sc;136.63;67.902;0.439
Sc vs Ho;F21;Sc;136.96;68.057;0.444
Sc vs Ho;F21;Sc;137.29;68.202;0.447
Sc vs Ho;F21;Sc;137.63;68.357;0.443
Sc vs Ho;F21;Sc;137.96;68.483;0.443
Sc vs Ho;F21;Sc;138.29;68.638;0.44
Sc vs Ho;F21;Sc;138.63;68.793;0.439
Sc vs Ho;F21;Sc;138.96;68.948;0.436
Sc vs Ho;F21;Sc;139.29;69.084;0.437
Sc vs Ho;F21;Sc;139.63;69.229;0.434
Sc vs Ho;F21;Sc;139.96;69.365;0.43
Sc vs Ho;F21;Sc;140.29;69.52;0.427
Sc vs Ho;F21;Sc;140.63;69.645;0.422
Sc vs Ho;F21;Sc;140.96;69.82;0.42
Sc vs Ho;F21;Sc;141.29;69.926;0.416
Sc vs Ho;F21;Sc;141.63;70.081;0.418
Sc vs Ho;F21;Sc;141.96;70.217;0.415
Sc vs Ho;F21;Sc;142.29;70.343;0.414
Sc vs Ho;F21;Sc;142.63;70.479;0.41
Sc vs Ho;F21;Sc;142.96;70.614;0.412
Sc vs Ho;F21;Sc;143.29;70.789;0.41
Sc vs Ho;F21;Sc;143.63;70.895;0.41
Sc vs Ho;F21;Sc;143.96;71.041;0.409
Sc vs Ho;F21;Sc;144.29;71.167;0.411
Sc vs Ho;F21;Sc;144.63;71.302;0.412
Sc vs Ho;F21;Sc;144.96;71.447;0.414
Sc vs Ho;F21;Sc;145.29;71.573;0.417
Sc vs Ho;F21;Sc;145.63;71.709;0.411
Sc vs Ho;F21;Sc;145.96;71.874;0.409
Sc vs Ho;F21;Sc;146.29;72.009;0.401
Sc vs Ho;F21;Sc;146.63;72.164;0.4
Sc vs Ho;F21;Sc;146.96;72.271;0.402
Sc vs Ho;F21;Sc;147.29;72.368;0.398
Sc vs Ho;F21;Sc;147.63;72.523;0.393
Sc vs Ho;F21;Sc;147.96;72.62;0.396
Sc vs Ho;F21;Sc;148.29;72.804;0.394
Sc vs Ho;F21;Sc;148.63;72.949;0.399
Sc vs Ho;F21;Sc;148.96;73.056;0.398
Sc vs Ho;F21;Sc;149.29;73.182;0.397
Sc vs Ho;F21;Sc;149.63;73.337;0.397
Sc vs Ho;F21;Sc;149.96;73.434;0.392
Sc vs Ho;F21;Sc;150.29;73.579;0.393
Sc vs Ho;F21;Sc;150.63;73.695;0.398
Sc vs Ho;F21;Sc;150.96;73.86;0.396
Sc vs Ho;F21;Sc;151.29;73.976;0.391
Sc vs Ho;F21;Sc;151.63;74.121;0.392
Sc vs Ho;F21;Sc;151.96;74.238;0.384
Sc vs Ho;F21;Sc;152.29;74.383;0.38
Sc vs Ho;F21;Sc;152.63;74.49;0.373
Sc vs Ho;F21;Sc;152.96;74.606;0.372
Sc vs Ho;F21;Sc;153.29;74.751;0.369
Sc vs Ho;F21;Sc;153.63;74.848;0.368
Sc vs Ho;F21;Sc;153.96;74.984;0.369
Sc vs Ho;F21;Sc;154.29;75.1;0.372
Sc vs Ho;F21;Sc;154.63;75.236;0.372
Sc vs Ho;F21;Sc;154.96;75.352;0.373
Sc vs Ho;F21;Sc;155.29;75.468;0.375
Sc vs Ho;F21;Sc;155.63;75.613;0.378
Sc vs Ho;F21;Sc;155.96;75.73;0.379
Sc vs Ho;F21;Sc;156.29;75.846;0.378
Sc vs Ho;F21;Sc;156.63;75.991;0.379
Sc vs Ho;F21;Sc;156.96;76.098;0.379
Sc vs Ho;F21;Sc;157.29;76.253;0.377
Sc vs Ho;F21;Sc;157.63;76.359;0.374
Sc vs Ho;F21;Sc;157.96;76.485;0.369
Sc vs Ho;F21;Sc;158.29;76.611;0.36
Sc vs Ho;F21;Sc;158.63;76.737;0.356
Sc vs Ho;F21;Sc;158.96;76.863;0.353
Sc vs Ho;F21;Sc;159.29;76.96;0.352
Sc vs Ho;F21;Sc;159.63;77.076;0.351
Sc vs Ho;F21;Sc;159.96;77.173;0.349
Sc vs Ho;F21;Sc;160.29;77.299;0.345
Sc vs Ho;F21;Sc;160.63;77.445;0.348
Sc vs Ho;F21;Sc;160.96;77.541;0.345
Sc vs Ho;F21;Sc;161.29;77.677;0.343
Sc vs Ho;F21;Sc;161.63;77.774;0.346
Sc vs Ho;F21;Sc;161.96;77.871;0.346
Sc vs Ho;F21;Sc;162.29;78.016;0.342
Sc vs Ho;F21;Sc;162.63;78.084;0.342
Sc vs Ho;F21;Sc;162.96;78.22;0.342
Sc vs Ho;F21;Sc;163.29;78.365;0.344
Sc vs Ho;F21;Sc;163.63;78.481;0.338
Sc vs Ho;F21;Sc;163.96;78.568;0.336
Sc vs Ho;F21;Sc;164.29;78.675;0.334
Sc vs Ho;F21;Sc;164.63;78.801;0.33
Sc vs Ho;F21;Sc;164.96;78.907;0.322
Sc vs Ho;F21;Sc;165.29;78.985;0.327
Sc vs Ho;F21;Sc;165.63;79.13;0.338
Sc vs Ho;F21;Sc;165.96;79.217;0.345
Sc vs Ho;F21;Sc;166.29;79.353;0.347
