Blocs;Fermenter;Species;Time;CO2;Pop_total;Prop_Sc;viability;glucose;fructose;glycerol;acetate;ethanol;alpha;succinate;pyruvate;Ammonium;Alanine;Arginine;Aspartate;Glutamine;Glutamate;Glycine;Histidine;Methionine;Phenylalanine;Serine;Threonine;Tryptophane;Tyrosine;Valine
Sc vs Mf;F28;Mf;0.00;;;;;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F28;Mf;5.90;-0.03;971000.00;0;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;11.30;-0.01;2651000.00;0;1.00;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;22.40;0.14;23187500.00;0;0.99;97.55;101.969937;0.22;;2.92;0.02;0.01;0.02;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;33.80;1.07;66425000.00;0;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;46.50;2.79;80850000.00;0;0.98;80.03;85.5569395;0.78;;5.95;0.04;0.04;0.05;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;59.50;4.24;8.49E+07;0;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;70.90;5.36;9.39E+07;0;1.00;73.98;70.3356005;3.39;0.41;29.09;0.01;0.18;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;80.30;6.20;8.60E+07;0;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;98.90;7.78;8.40E+07;0;0.98;;;;;;;;;55.1404;32.90;81.63;12.40;1.09;3.16;5.60;1.66;0.00;10.26;5.23;4.68;38.78;6.08;1.22
Sc vs Mf;F28;Mf;166.90;12.98;9.22E+07;0;0.97;74.71;84.72;2.41;0.09;16.81;0.09;0.25;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;191.20;14.75;8.65E+07;0;0.97;66.83;77.0939693;2.40;0.10;17.17;0.08;0.26;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;214.80;16.37;8.86E+07;0;0.96;69.03;80.1168097;2.73;0.12;20.21;0.09;0.36;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;239.20;18.01;8.48E+07;0;0.96;67.06;79.390715;2.92;0.13;21.71;0.10;0.33;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;263.20;19.57;8.27E+07;0;0.95;55.58;67.19599;2.65;0.12;20.34;0.09;0.30;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F28;Mf;334.20;23.65;8.64E+07;0;0.93;57.28;73.7306166;3.35;0.16;27.11;0.11;0.41;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;0.00;;;;;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F29;Mf;5.90;-0.05;1026000.00;0;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;11.30;-0.11;2860000.00;0;1.00;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;22.40;0.08;32525000.00;0;0.99;87.11;91.0803673;0.21;;2.71;0.02;0.01;0.02;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;33.80;0.85;60375000.00;0;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;46.50;2.34;71050000.00;0;0.97;93.76;100.255834;0.90;;6.63;0.04;0.04;0.05;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;59.50;3.80;7.96E+07;0;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;70.90;4.76;7.72E+07;0;0.97;86.01;91.7613973;1.28;0.03;8.81;0.05;0.08;0.07;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;80.30;5.65;7.89E+07;0;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;98.90;7.41;7.87E+07;0;0.97;;;;;;;;;52.2912;33.12;83.97;12.31;1.06;3.13;5.52;1.02;0.00;10.42;5.22;4.60;39.26;6.17;1.21
Sc vs Mf;F29;Mf;166.90;12.45;8.31E+07;0;0.97;76.19;84.51;2.39;0.08;16.41;0.08;0.23;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;191.20;13.86;8.15E+07;0;0.96;73.48;82.6924824;2.57;0.10;18.02;0.09;0.26;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;214.80;15.57;8.15E+07;0;0.96;71.83;82.8466473;2.75;0.11;19.69;0.09;0.28;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;239.20;17.12;7.98E+07;0;0.96;68.61;80.7105523;2.88;0.12;21.18;0.10;0.31;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;263.20;18.24;7.58E+07;0;0.96;58.64;70.3702757;2.69;0.12;20.36;0.10;0.29;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F29;Mf;334.20;22.21;7.84E+07;0;0.93;60.51;77.2950454;3.38;0.15;26.84;0.12;0.36;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;0.00;;;;;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F30;Mf;5.90;-0.06;1009500.00;0;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;11.30;-0.14;2759500.00;0;1.00;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;22.40;0.00;29575000.00;0;1.00;78.99;82.6529477;0.19;;2.45;0.02;0.01;0.02;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;33.80;0.69;56600000.00;0;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;46.50;2.23;71925000.00;0;0.98;86.99;92.9339793;0.81;;6.03;0.04;0.03;0.05;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;59.50;3.68;7.71E+07;0;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;70.90;4.64;7.23E+07;0;0.98;87.09;92.9567512;1.26;0.02;8.63;0.06;0.07;0.08;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;80.30;5.35;7.76E+07;0;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;98.90;6.80;7.66E+07;0;0.97;;;;;;;;;54.3862;31.16;79.79;11.72;1.24;3.10;5.27;0.00;0.00;9.98;4.46;3.85;38.87;6.08;0.93
Sc vs Mf;F30;Mf;166.90;11.59;8.04E+07;0;0.97;76.43;84.92;2.31;0.09;15.87;0.08;0.20;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;191.20;13.13;8.06E+07;0;0.97;74.45;85.3192715;2.50;0.09;17.23;0.09;0.23;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;214.80;14.63;8.02E+07;0;0.96;72.51;84.5969737;2.67;0.11;19.19;0.09;0.25;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;239.20;16.06;7.71E+07;0;0.97;69.44;81.5110596;2.79;0.13;20.21;0.10;0.27;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;263.20;17.34;7.81E+07;0;0.96;64.98;77.7135191;2.84;0.13;20.78;0.10;0.28;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F30;Mf;334.20;21.12;7.74E+07;0;0.95;60.31;76.5189872;3.23;0.17;25.40;0.11;0.35;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;0.00;0.00;1085400;1.00;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F21;Sc;5.30;0.13;815440;1.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;11.20;0.21;2596750;1.00;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;22.90;0.52;27908500;1.00;0.99;70.83;74.42;0.20;0.03;2.72;0.08;0.00;0.00;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;36.20;6.39;73952000;1.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;47.00;16.81;119500000;1.00;0.99;59.05;76.05;2.02;0.30;19.49;0.02;0.11;0.08;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;59.40;26.80;133490000;1.00;0.83;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;70.80;34.49;138552500;1.00;0.98;35.54;61.58;2.91;0.43;35.46;0.03;0.20;0.09;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;81.50;41.04;143677500;1.00;0.83;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;100.20;51.44;168100000;1.00;0.98;19.03;48.88786633;3.80;0.51;53.20;0.04;0.31;0.11;0;0.00;0.00;1.05;0.00;0.57;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sc vs Mf;F21;Sc;166.50;80.40;164550000;1.00;0.90;0.58;14.51113426;5.01;0.57;85.13;0.04;0.79;0.08;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;190.90;86.72;136625000;1.00;0.94;0.12;3.249894133;5.49;0.59;96.48;0.11;1.02;0.22;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;214.80;88.49;138455000;1.00;0.96;0.07;0.2974808757;5.53;0.60;98.13;0.05;1.09;0.06;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;239.10;88.72;134152500;1.00;0.92;0.10;0;5.55;0.62;98.58;0.13;1.08;0.18;;;;;;;;;;;;;;;
Sc vs Mf;F21;Sc;267.80;88.96;141020000;1.00;0.77;0.11;0;5.56;0.63;99.00;0.14;1.01;0.22;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;0.00;0.00;1085400;1.00;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F22;Sc;5.30;0.06;758960;1.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;11.20;0.16;2886400;1.00;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;22.90;0.53;30915500;1.00;0.99;55.57;58.52;0.18;0.03;2.40;0.06;0.00;0.21;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;36.20;7.38;77188800;1.00;0.97;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;47.00;17.98;124522500;1.00;0.99;60.70;79.41;2.25;0.34;21.92;0.02;0.12;0.09;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;59.40;27.63;135172500;1.00;0.83;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;70.80;35.05;136752500;1.00;0.96;38.30;66.78;3.24;0.47;38.81;0.03;0.22;0.09;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;81.50;41.43;142490000;1.00;0.81;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;100.20;51.62;180200000;1.00;0.97;19.35;49.62198792;3.92;0.53;54.41;0.04;0.32;0.13;0;0.00;0.00;0.99;0.00;0.63;0.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sc vs Mf;F22;Sc;166.50;79.99;162350000;1.00;0.88;0.65;14.1580784;4.66;0.55;78.73;0.04;0.77;0.07;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;190.90;86.26;133675000;1.00;0.91;0.14;4.334882807;5.48;0.61;95.74;0.11;1.10;0.22;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;214.80;88.49;131357500;1.00;0.92;0.07;0.3645605562;5.49;0.61;97.02;0.04;1.17;0.06;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;239.10;88.76;131172500;1.00;0.87;0.10;0;5.60;0.63;99.30;0.14;1.19;0.19;;;;;;;;;;;;;;;
Sc vs Mf;F22;Sc;267.80;89.06;134512500;1.00;0.74;0.08;0;5.55;0.64;96.59;0.12;1.12;0.20;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;0.00;0.00;1085400;0.10;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F26;Sc vs Mf;5.30;0.00;1034760;0.07;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;11.20;0.14;3157050;0.06;1.00;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;22.90;0.33;30709500;0.09;1.00;81.74;85.25;0.21;0.00;2.71;0.02;0.01;0.01;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;36.20;2.19;56291200;0.24;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;47.00;5.94;76147500;0.49;0.99;69.98;77.28;1.07;0.06;8.43;0.03;0.06;0.05;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;59.40;13.13;108965000;0.67;0.91;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;70.80;21.19;138782500;0.68;0.98;49.69;65.64;2.39;0.15;22.29;0.05;0.16;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;81.50;26.64;131567500;0.65;0.89;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;100.20;34.72;170900000;0.71;0.97;35.40;57.98686183;3.20;0.22;34.46;0.05;0.24;0.10;0;0.00;0.00;0.97;0.00;0.55;0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sc vs Mf;F26;Sc vs Mf;166.50;57.53;148700000;0.88;0.70;15.17;46.22800782;4.90;0.38;63.19;0.08;0.49;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;190.90;64.77;125262500;0.87;0.70;9.13;38.79900571;5.30;0.42;71.97;0.08;0.55;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;214.80;71.07;120457500;0.93;0.69;4.54;29.92036881;5.53;0.44;78.32;0.10;0.59;0.13;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;239.10;76.51;120905000;0.94;0.75;1.80;21.50091138;5.78;0.46;84.71;0.10;0.54;0.13;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;267.80;81.80;122030000;0.94;0.71;0.40;11.88598125;5.85;0.45;88.34;0.08;0.56;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F26;Sc vs Mf;333.60;87.59;119927500;0.94;0.80;0.09;0.00;6.06;0.45;94.78;0.11;0.60;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;0.00;0.00;1085400;0.10;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F27;Sc vs Mf;5.30;-0.02;1553040;0.08;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;11.20;-0.01;3717400;0.08;1.00;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;22.90;0.17;30604000;0.12;1.00;81.32;84.86;0.22;0.00;2.98;0.02;0.01;0.01;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;36.20;2.34;52126400;0.34;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;47.00;6.84;78382500;0.59;0.99;57.63;64.48;0.99;0.06;8.20;0.03;0.05;0.05;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;59.40;15.52;120560000;0.66;0.89;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;70.80;23.28;141105000;0.72;0.97;51.82;69.36;2.72;0.18;25.90;0.05;0.18;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;81.50;28.74;136837500;0.69;0.85;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;100.20;36.38;166000000;0.75;0.96;34.00;56.92776589;3.30;0.24;36.25;0.05;0.25;0.09;0;0.00;0.00;1.07;0.00;0.70;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sc vs Mf;F27;Sc vs Mf;166.50;60.01;143400000;0.92;0.74;12.84;43.4705683;4.94;0.40;65.25;0.07;0.49;0.10;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;190.90;67.24;121895000;0.84;0.74;7.35;36.31007042;5.43;0.44;74.77;0.09;0.56;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;214.80;73.44;126475000;0.96;0.75;3.18;26.15525583;5.46;0.44;79.22;0.09;0.58;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;239.10;78.77;121080000;0.97;0.80;1.08;18.30116188;5.87;0.46;87.98;0.10;0.56;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;267.80;83.75;121780000;0.97;0.75;0.21;8.840852439;6.09;0.45;93.81;0.09;0.60;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F27;Sc vs Mf;333.60;88.08;124292500;0.97;0.80;0.09;0.00;6.13;0.45;96.40;0.10;0.61;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;0.00;0.00;1085400;0.10;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mf;F28;Sc vs Mf;5.30;-0.02;1226480;0.08;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;11.20;0.04;3535500;0.08;1.00;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;22.90;0.20;29036000;0.12;1.00;81.14;84.65;0.22;0.00;2.78;0.02;0.01;0.01;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;36.20;1.73;52793600;0.32;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;47.00;5.60;73055000;0.56;0.99;58.07;64.42;0.90;0.06;7.45;0.02;0.05;0.05;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;59.40;13.01;100777500;0.78;0.90;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;70.80;21.24;138667500;0.73;0.98;53.66;70.44;2.58;0.19;24.37;0.04;0.16;0.13;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;81.50;27.03;127085000;0.69;0.88;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;100.20;35.24;154050000;0.76;0.94;31.78;53.18359133;2.98;0.25;33.59;0.05;0.21;0.10;0;0.00;0.00;1.11;0.00;0.66;0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sc vs Mf;F28;Sc vs Mf;166.50;59.29;133625000;0.93;0.72;12.62;43.11489603;4.78;0.42;64.53;0.07;0.43;0.11;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;190.90;66.76;120555000;0.90;0.76;6.86;34.68955449;5.12;0.46;72.46;0.08;0.49;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;214.80;73.08;116965000;0.98;0.77;2.97;25.01997668;5.34;0.46;77.60;0.09;0.54;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;239.10;78.45;116957500;0.98;0.83;0.98;17.50444436;5.72;0.49;87.76;0.11;0.53;0.12;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;267.80;83.42;129072500;0.98;0.78;0.20;8.248301659;5.95;0.48;94.02;0.08;0.59;0.13;;;;;;;;;;;;;;;
Sc vs Mf;F28;Sc vs Mf;333.60;87.52;123155000;0.98;0.80;0.10;0.00;6.08;0.49;97.83;0.10;0.63;0.12;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;0.00;0.00;1061150;0.00;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mp;F22;Mp;5.70;0.16;1929050;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;11.10;0.22;4951900;0.00;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;22.80;0.43;27276800;0.00;1.00;94.42;95.49;0.38;0.00;3.48;0.03;0.01;0.02;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;34.20;1.33;47715000;0.00;0.97;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;46.60;2.95;55270000;0.00;1.00;89.72;91.77;1.06;0.00;6.52;0.04;0.05;0.05;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;58.70;4.43;54457500;0.00;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;70.20;5.88;55637500;0.00;0.99;86.04;88.92;1.70;0.03;9.37;0.06;0.10;0.09;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;81.10;7.06;57102500;0.00;0.99;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;99.50;8.91;56536250;0.00;0.97;82.95;86.94;2.37;0.05;12.33;0.07;0.15;0.14;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;117.60;10.55;59900000;0.00;0.99;79.12;83.61;2.63;0.06;13.83;0.09;0.16;0.19;53.213;39.70;100.19;15.21;2.56;2.31;5.98;3.66;3.26;11.31;10.05;9.80;44.11;6.17;5.87
Sc vs Mp;F22;Mp;167.50;14.41;53967500;0.00;0.98;72.85;79.13;3.18;0.09;17.45;0.10;0.21;0.22;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;192.20;16.06;59185000;0.00;0.96;71.36;78.61;3.39;0.10;19.24;0.12;0.23;0.26;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;214.80;17.32;61440000;0.00;0.96;70.22;78.54;3.59;0.11;20.77;0.17;0.25;0.33;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;238.90;18.95;58962500;0.00;0.94;67.54;77.04;3.76;0.10;22.52;0.12;0.26;0.28;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;262.90;20.30;59797500;0.00;0.94;;;5.49;0.00;47.40;0.21;0.62;0.28;;;;;;;;;;;;;;;
Sc vs Mp;F22;Mp;406.80;26.61;52335000;0.00;0.59;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;0.00;0.00;1061150;0.00;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mp;F23;Mp;5.70;-0.04;1933120;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;11.10;-0.06;5178250;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;22.80;0.14;27428800;0.00;0.98;94.16;95.27;0.38;0.00;3.51;0.03;0.01;0.02;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;34.20;1.25;52895000;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;46.60;2.85;54455000;0.00;0.99;90.87;92.86;1.09;0.03;6.71;0.04;0.05;0.05;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;58.70;4.30;53357500;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;70.20;5.69;58332500;0.00;0.98;86.42;89.27;1.68;0.02;9.41;0.06;0.09;0.08;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;81.10;6.82;56532500;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;99.50;8.56;56678750;0.00;0.96;82.09;85.84;2.25;0.06;12.25;0.07;0.14;0.12;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;117.60;10.13;58970000;0.00;0.97;79.58;83.93;2.50;0.07;13.73;0.09;0.16;0.17;56.0622;39.74;93.12;15.33;2.82;2.24;6.11;3.62;2.77;11.15;9.54;9.28;45.23;6.29;6.00
Sc vs Mp;F23;Mp;167.50;13.82;53145000;0.00;0.97;74.72;80.85;3.03;0.10;17.49;0.10;0.21;0.22;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;192.20;15.37;59297500;0.00;0.95;73.24;80.31;3.24;0.11;19.31;0.12;0.23;0.28;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;214.80;16.76;62165000;0.00;0.95;70.10;78.21;3.39;0.11;20.63;0.17;0.24;0.31;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;238.90;18.26;58370000;0.00;0.92;67.28;76.43;3.51;0.10;22.16;0.12;0.24;0.26;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;262.90;19.61;61707500;0.00;0.92;;;5.62;0.00;53.67;0.44;0.68;0.55;;;;;;;;;;;;;;;
Sc vs Mp;F23;Mp;406.80;25.48;49717500;0.00;0.48;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;0.00;0.00;1061150;0.00;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Mp;F24;Mp;5.70;-0.40;1859200;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;11.10;-0.61;5015950;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;22.80;-0.59;26097600;0.00;0.96;94.92;96.03;0.38;0.00;3.43;0.03;0.01;0.02;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;34.20;0.31;46627500;0.00;0.97;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;46.60;1.91;55265000;0.00;0.99;90.00;92.10;1.12;0.02;6.74;0.05;0.05;0.09;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;58.70;3.51;56867500;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;70.20;4.93;57057500;0.00;0.98;86.49;89.41;1.76;0.02;9.65;0.08;0.09;0.17;;;;;;;;;;;;;;;
Sc vs Mp;F24;Mp;81.10;6.08;57630000;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
